iceberg_id,datetime,latitude,longitude,target_latitude,target_longitude,predicted_latitude,predicted_longitude,prediction_error_km,predicted_movement_km,trajectory_uncertainty,movement_risk,iceberg_risk_score,iceberg_risk_level
a22a,2002-02-01,-76.3429,-46.154,-76.3429,-46.154,-76.33465564424621,-46.14027166264361,0.9850787328102135,0.9850787328102135,0.06547960725606224,0.09270442491909804,7.636953432127655,Low
a22a,2002-02-02,-76.3429,-46.154,-76.3429,-46.154,-76.33460516317807,-46.14184679281922,0.976005590749533,0.976005590749533,0.06487650238847772,0.09185056381243793,7.566612695806181,Low
a22a,2002-02-03,-76.3429,-46.154,-76.3429,-46.154,-76.33618739274661,-46.1443394575939,0.7883427695493274,0.7883427695493274,0.05240228340529161,0.07418986996268821,6.111731802825025,Low
a22a,2002-02-04,-76.3429,-46.154,-76.3429,-46.154,-76.34115626647421,-46.15538184850459,0.19725965842698578,0.19725965842698578,0.013112134625438638,0.018563839198967456,1.5292816454850164,Low
a22a,2002-02-05,-76.3429,-46.154,-76.3429,-46.154,-76.34145940318582,-46.15602228272911,0.16875757229573066,0.16875757229573066,0.011217559761834707,0.015881546488967727,1.3083154452687915,Low
a22a,2002-02-06,-76.3429,-46.154,-76.3429,-46.154,-76.34162740613853,-46.156641144478044,0.1575836719234029,0.1575836719234029,0.010474814452725132,0.014829985863793298,1.2216883017152398,Low
a22a,2002-02-07,-76.3429,-46.154,-76.3429,-46.154,-76.34113256044857,-46.15387790718293,0.19655645382178735,0.19655645382178735,0.013065391598881065,0.0184976615663031,1.523829958584988,Low
a22a,2002-02-08,-76.3429,-46.154,-76.3429,-46.154,-76.33665107376305,-46.14480243984025,0.7356300697597024,0.7356300697597024,0.04889839405648323,0.06922914920284645,5.703069611502852,Low
a22a,2002-02-09,-76.3429,-46.154,-76.3429,-46.154,-76.34018438888877,-46.15118109670291,0.3109010467610311,0.3109010467610311,0.020666041971421883,0.029258476289001217,2.4103015698453616,Low
a22a,2002-02-10,-76.3429,-46.154,-76.3429,-46.154,-76.34192086190615,-46.15888767729632,0.16829036423518898,0.16829036423518898,0.01118650376672266,0.015837578171383076,1.3046933528586828,Low
a22a,2002-02-11,-76.3429,-46.154,-76.3429,-46.154,-76.33532570770795,-46.14212483736574,0.898106547351363,0.898106547351363,0.059698440374303836,0.0845195903791027,6.9626900376223375,Low
a22a,2002-02-12,-76.3429,-46.154,-76.3429,-46.154,-76.34142015684564,-46.1573188592607,0.18619948743357587,0.18619948743357587,0.01237694907253634,0.01752298149155769,1.4435362040144881,Low
a22a,2002-02-13,-76.3429,-46.154,-76.3429,-46.154,-76.34076007524195,-46.155855275845454,0.24288381877910745,0.24288381877910745,0.01614483851167724,0.02285746711619407,1.8829889953483971,Low
a22a,2002-02-14,-76.3429,-46.154,-76.3429,-46.154,-76.33575250198268,-46.16789466950104,0.8745260769523145,0.8745260769523145,0.058131012422389695,0.08230046425765108,6.779879315649426,Low
a22a,2002-02-15,-76.3429,-46.154,-76.3429,-46.154,-76.34155744895921,-46.15716073451364,0.17080045212760342,0.17080045212760342,0.011353352937148472,0.01607379914216664,1.3241531419155739,Low
a22a,2002-02-16,-76.3429,-46.154,-76.3429,-46.154,-76.34131641966904,-46.15933166969381,0.22495053280313865,0.22495053280313865,0.014952787071111504,0.02116978986975796,1.7439588190570086,Low
